Step_1;Step_2;Step_3;Step_4;Step_5;Exporter;Product;Allocated_Volume
PRODUCTION-BR-4313805;HUB-BR-4315602;PORT-BR-4315602;;;GAVILON;SOYBEAN;99.11568403899469
PRODUCTION-BR-4321105;HUB-BR-4315602;PORT-BR-4315602;;;GAVILON;SOYBEAN;2940.795020937204
PRODUCTION-BR-5002407;HUB-BR-5002407;PORT-BR-4118204;;;LAR;SOYBEAN;7200.0
PRODUCTION-BR-5005806;HUB-BR-5003702;PORT-BR-4118204;;;COAMO;SOYBEAN;20000.0
PRODUCTION-BR-5005806;HUB-BR-5003702;PORT-BR-4216206;;;C. VALE;SOYBEAN;6000.0
PRODUCTION-BR-5004601;HUB-BR-5004601;PORT-BR-4118204;;;AGROPECUARIA SANTA MARIA DO CERNE;SOYBEAN;1000.0
PRODUCTION-BR-5100607;HUB-BR-5100300;PORT-BR-1506807;;;LOUIS DREYFUS;SOYBEAN;83500.0
PRODUCTION-BR-5100607;HUB-BR-5100300;PORT-BR-2111300;;;LOUIS DREYFUS;SOYBEAN;2000.0
PRODUCTION-BR-5106828;HUB-BR-5103403;PORT-BR-4118204;;;COPAGRI - COMERCIAL PARANAENSE AGRICOLA;SOYBEAN;11165.26303
HUB-BR-5103403;PORT-BR-4118204;;;;SHANGHAI PENGXIN GROUP CO., LTD.;SOYBEAN;10600.0
PRODUCTION-BR-5103502;HUB-BR-5103502;PORT-BR-4216206;;;C. VALE;SOYBEAN;7000.0
PRODUCTION-BR-5104542;HUB-BR-5104542;PORT-BR-2111300;;;SHANGHAI PENGXIN GROUP CO., LTD.;SOYBEAN;5000.0
PRODUCTION-BR-5107065;HUB-BR-5107065;PORT-BR-1501303;;;ENGELHART;SOYBEAN;183000.0
PRODUCTION-BR-5107065;HUB-BR-5107065;PORT-BR-2111300;;;ENGELHART;SOYBEAN;8628.73001
PRODUCTION-BR-5107198;HUB-BR-5107602;PORT-BR-1501303;;;ADM;SOYBEAN;48362.27648078351
PRODUCTION-BR-5203104;HUB-BR-5107602;PORT-BR-1501303;;;ADM;SOYBEAN;20937.723519216495
